job_name,company,location,department,easy_apply,remote,salary,urgently_hiring,company_rating
Data Engineer (H/F) Lyon,Keyrus,Lyon,69,False,False,null,False,3.6
Senior Data Engineer,HILTI,Boulogne-Billancourt,92,False,False,null,False,4.0
RECHERCHE DATA ENGINEER POUR PROJET CHALLENGEANT,Urban Linker,Paris,75,False,False,null,False,4.2
Internship: Cyber Threat Intelligence: Data Leaks Prevention...,SAP,Mougins,6,False,False,null,False,4.3
Data Engineer,PERS� BEAUTY,Paris,75,False,False,null,False,null
Data Engineer / Freelance,Pixie Services France,Lille,59,False,False,null,False,null
Data/Web analyst (h/f) - Stage/Alternance,Maisons du Monde,Paris,75,True,False,null,False,3.3
LEAD DATA ENGINEER (H/F),ippon,Paris,75,False,False,null,False,null
Data engineer � Optimisation �nerg�tique & Industrie,In-Team,Paris,75,False,False,40 000 � - 60 000 � par an,False,null
Cloud Data Engineer (H/F),Devoteam,Levallois-Perret,92,False,False,null,False,3.8
Data Engineer & Cloud F/H,OCTO Technology,Paris,75,False,False,null,False,5.0
STAGE/CESURE - Data Scientist,PRISMA MEDIA,Gennevilliers,92,False,False,null,False,4.1
DATA ENGINEER / MACHINE LEARNING ENGINEER,Nyctale,Paris,75,False,False,null,False,null
Data Engineer / Freelance,Come Together,Lille,59,False,False,null,False,null
"Director of Engineering, Infrastructure (EMEA)",Facebook,Paris,75,False,False,null,False,4.2
Machine Learning Internship - (H/F),Dailymotion,Paris,75,False,False,null,False,3.9
Insider Protection Big Data/ML engineer (m/f),Airbus,Toulouse,31,False,False,null,False,4.2
Data Engineer F/H,Group onePoint,Nantes,44,False,False,null,False,null
Junior Product Qualification Engineer,NXP Semiconductors,Caen,14,False,False,null,False,3.8
EGNOS Sites Engineer,RHEA,Toulouse,31,False,False,null,False,null
AI Data Engineering H/F,LCL,Villejuif,94,False,False,null,False,3.7
Data Scientist H/F,Polyconseil,Paris 8e,75,False,False,null,False,null
"Temporary scientific engineer / Vision, perception and multi...",Inria,Sophia Antipolis,6,False,False,null,False,4.0
Data engineer s�nior F/H - Cesson S�vign�,Orange,Cesson-S�vign�,35,False,False,null,False,4.1
Cloud Data Engineer H/F,VALOWAY,La Rochelle,17,True,True,null,False,null
